Vaccine,Dose,Geography Type,Geography,Survey Year,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size,State,HHS Region
Tetanus,Tdap,States/Local Areas,IL-Cook County,2016,>=18 Years,Overall,27.3,24.1 to 30.5,1183.0,Illinois,Region 5
Zoster (Shingles),,States/Local Areas,IL-Cook County,2017,>=60 Years,Overall,32.6,28.7 to 36.6,813.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-Cook County,2019,>=65 Years,Overall,35.4,29.4 to 41.4,344.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-Cook County,2016,>=65 Years,Overall,17.6,13.3 to 22.0,414.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-Cook County,2016,18-64 Years,Overall,29.9,26.0 to 33.7,769.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-Cook County,2013,>=65 Years,Overall,16.9,11.3 to 22.5,281.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-Cook County,2019,18-64 Years,Overall,42.3,38.7 to 46.0,939.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-Cook County,2013,18-64 Years,Overall,26.6,22.0 to 31.3,553.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-City of Chicago,2013,>=18 Years,Overall,24.7,20.8 to 28.5,834.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-City of Chicago,2013,18-64 Years,Overall,26.6,22.0 to 31.3,553.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-City of Chicago,2013,>=65 Years,Overall,16.9,11.3 to 22.5,281.0,Illinois,Region 5
Pneumococcal,,States/Local Areas,Minnesota,2023,18-64 Years at Increased Risk,Overall,37.8,35.0 to 40.6,2847.0,Minnesota,Region 5
Zoster (Shingles),,States/Local Areas,Minnesota,2023,60-64 Years,Overall,53.5,50.0 to 57.0,1528.0,Minnesota,Region 5
Pneumococcal,,States/Local Areas,Minnesota,2023,>=65 Years,Overall,70.7,68.6 to 72.7,5115.0,Minnesota,Region 5
Zoster (Shingles),,States/Local Areas,Minnesota,2023,>=65 Years,Overall,64.6,62.5 to 66.7,5306.0,Minnesota,Region 5
Zoster (Shingles),,States/Local Areas,Minnesota,2023,>=60 Years,Overall,61.6,59.7 to 63.4,6834.0,Minnesota,Region 5
Tetanus,Tdap,States/Local Areas,Minnesota,2019,>=18 Years,Overall,58.5,57.2 to 59.9,7644.0,Minnesota,Region 5
Zoster (Shingles),,States/Local Areas,Minnesota,2017,>=60 Years,Overall,49.9,48.4 to 51.4,6581.0,Minnesota,Region 5
Tetanus,Tdap,States/Local Areas,Minnesota,2012,18-64 Years,Overall,27.0,25.3 to 28.7,4785.0,Minnesota,Region 5
Tetanus,Tdap,States/Local Areas,Minnesota,2009,18-64 Years,Overall,15.2,13.2 to 17.1,2549.0,Minnesota,Region 5
Tetanus,Tdap,States/Local Areas,Minnesota,2012,>=18 Years,Overall,24.8,23.3 to 26.2,6709.0,Minnesota,Region 5
Tetanus,Tdap,States/Local Areas,Minnesota,2009,>=18 Years,Overall,13.6,12.0 to 15.3,3790.0,Minnesota,Region 5
Tetanus,Tdap,States/Local Areas,Minnesota,2016,>=18 Years,Overall,48.9,47.6 to 50.1,9445.0,Minnesota,Region 5
Tetanus,Tdap,States/Local Areas,Minnesota,2013,>=18 Years,Overall,47.6,45.5 to 49.6,8050.0,Minnesota,Region 5
Tetanus,Tdap,States/Local Areas,Minnesota,2019,>=65 Years,Overall,48.9,46.4 to 51.4,2238.0,Minnesota,Region 5
Tetanus,Tdap,States/Local Areas,Minnesota,2016,18-64 Years,Overall,51.7,50.3 to 53.1,6684.0,Minnesota,Region 5
Tetanus,Tdap,States/Local Areas,Minnesota,2016,>=65 Years,Overall,37.4,35.3 to 39.5,2761.0,Minnesota,Region 5
Tetanus,Tdap,States/Local Areas,Minnesota,2019,18-64 Years,Overall,61.0,59.4 to 62.5,5406.0,Minnesota,Region 5
Tetanus,Tdap,States/Local Areas,Minnesota,2013,>=65 Years,Overall,36.4,31.9 to 40.9,2327.0,Minnesota,Region 5
Tetanus,Tdap,States/Local Areas,Minnesota,2013,18-64 Years,Overall,50.0,47.7 to 52.2,5723.0,Minnesota,Region 5
Tetanus,Tdap,States/Local Areas,Minnesota,2009,>=65 Years,Overall,6.0,4.5 to 7.5,1241.0,Minnesota,Region 5
Tetanus,Tdap,States/Local Areas,Minnesota,2012,>=65 Years,Overall,15.0,12.9 to 17.0,1924.0,Minnesota,Region 5
Pneumococcal,,States/Local Areas,New Hampshire,2023,18-64 Years at Increased Risk,Overall,38.0,34.0 to 42.1,934.0,New Hampshire,Region 1
Zoster (Shingles),,States/Local Areas,New Hampshire,2023,60-64 Years,Overall,45.3,40.9 to 49.7,717.0,New Hampshire,Region 1
Pneumococcal,,States/Local Areas,New Hampshire,2023,>=65 Years,Overall,74.8,72.8 to 76.7,3590.0,New Hampshire,Region 1
Zoster (Shingles),,States/Local Areas,New Hampshire,2023,>=65 Years,Overall,60.5,58.5 to 62.6,3670.0,New Hampshire,Region 1
Zoster (Shingles),,States/Local Areas,New Hampshire,2023,>=60 Years,Overall,56.0,54.0 to 58.0,4387.0,New Hampshire,Region 1
Zoster (Shingles),,States/Local Areas,New Hampshire,2017,>=60 Years,Overall,47.2,44.8 to 49.6,2704.0,New Hampshire,Region 1
Tetanus,Tdap,States/Local Areas,New Hampshire,2019,>=18 Years,Overall,53.1,50.4 to 55.8,2757.0,New Hampshire,Region 1
Tetanus,Tdap,States/Local Areas,New Hampshire,2019,18-64 Years,Overall,57.8,54.5 to 61.1,1525.0,New Hampshire,Region 1
Tetanus,Tdap,States/Local Areas,New Hampshire,2013,>=65 Years,Overall,27.6,24.5 to 30.7,1186.0,New Hampshire,Region 1
Tetanus,Tdap,States/Local Areas,New Hampshire,2016,18-64 Years,Overall,47.6,44.6 to 50.6,2120.0,New Hampshire,Region 1
Tetanus,Tdap,States/Local Areas,New Hampshire,2017,18-64 Years,Overall,50.8,47.4 to 54.3,1637.0,New Hampshire,Region 1
Tetanus,Tdap,States/Local Areas,New Hampshire,2013,18-64 Years,Overall,44.7,42.0 to 47.4,2267.0,New Hampshire,Region 1
Tetanus,Tdap,States/Local Areas,New Hampshire,2016,>=65 Years,Overall,24.8,22.1 to 27.5,1427.0,New Hampshire,Region 1
Tetanus,Tdap,States/Local Areas,New Hampshire,2017,>=65 Years,Overall,31.1,27.9 to 34.4,1171.0,New Hampshire,Region 1
Tetanus,Tdap,States/Local Areas,New Hampshire,2019,>=65 Years,Overall,37.6,34.4 to 40.8,1232.0,New Hampshire,Region 1
Tetanus,Tdap,States/Local Areas,New Hampshire,2017,>=18 Years,Overall,46.3,43.5 to 49.1,2808.0,New Hampshire,Region 1
Tetanus,Tdap,States/Local Areas,New Hampshire,2016,>=18 Years,Overall,42.5,40.0 to 44.9,3547.0,New Hampshire,Region 1
Tetanus,Tdap,States/Local Areas,New Hampshire,2013,>=18 Years,Overall,41.3,39.1 to 43.6,3453.0,New Hampshire,Region 1
Pneumococcal,,States/Local Areas,Iowa,2017,>=65 Years,Overall,80.3,78.5 to 82.1,2290.0,Iowa,Region 7
Pneumococcal,,States/Local Areas,Iowa,2021,18-64 Years at Increased Risk,Overall,33.3,30.6 to 36.0,1867.0,Iowa,Region 7
Pneumococcal,,States/Local Areas,Iowa,2015,18-64 Years at Increased Risk,Overall,35.9,32.3 to 39.4,1150.0,Iowa,Region 7
Pneumococcal,,States/Local Areas,Iowa,2022,18-64 Years at Increased Risk,Overall,33.2,30.5 to 35.9,1800.0,Iowa,Region 7
Pneumococcal,,States/Local Areas,Iowa,2022,>=65 Years,Overall,73.2,71.0 to 75.3,2848.0,Iowa,Region 7
Tetanus,Td or Tdap,States/Local Areas,Iowa,2022,50-64 Years,Overall,76.5,74.2 to 78.9,1927.0,Iowa,Region 7
Tetanus,Td or Tdap,States/Local Areas,Iowa,2022,>=65 Years,Overall,67.2,64.9 to 69.5,2747.0,Iowa,Region 7
Tetanus,Td or Tdap,States/Local Areas,Iowa,2022,18-49 Years,Overall,76.9,75.0 to 78.9,3067.0,Iowa,Region 7
Tetanus,Td or Tdap,States/Local Areas,Iowa,2022,>=18 Years,Overall,74.5,73.2 to 75.7,7741.0,Iowa,Region 7
Tetanus,Tdap,States/Local Areas,Iowa,2022,>=18 Years,Overall,43.3,41.4 to 45.1,4697.0,Iowa,Region 7
Tetanus,Tdap,States/Local Areas,Iowa,2022,>=65 Years,Overall,28.6,25.8 to 31.4,1689.0,Iowa,Region 7
Tetanus,Tdap,States/Local Areas,Iowa,2022,18-64 Years,Overall,48.0,45.7 to 50.2,3008.0,Iowa,Region 7
Pneumococcal,,States/Local Areas,South Dakota,2017,18-64 Years at Increased Risk,Overall,37.2,32.7 to 41.7,1498.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2016,18-64 Years at Increased Risk,Overall,31.0,26.5 to 35.5,1146.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2014,>=65 Years,Overall,68.8,65.6 to 72.0,2364.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2018,>=65 Years,Overall,77.0,74.2 to 79.9,2560.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2010,>=65 Years,Overall,68.0,65.7 to 70.4,2262.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2013,>=65 Years,Overall,65.4,61.7 to 69.2,1976.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2012,>=65 Years,Overall,64.1,60.3 to 67.9,2262.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2017,>=65 Years,Overall,77.7,74.7 to 80.7,2462.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2021,18-64 Years at Increased Risk,Overall,30.2,24.9 to 35.6,1546.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2011,>=65 Years,Overall,67.1,63.6 to 70.5,2566.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2015,18-64 Years at Increased Risk,Overall,29.3,25.5 to 33.1,1438.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2009,>=65 Years,Overall,66.2,63.7 to 68.6,2251.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2008,>=65 Years,Overall,65.4,63.0 to 67.8,2253.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2013,50-64 Years,Overall,66.9,63.3 to 70.5,1809.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2019,18-49 Years,Overall,81.1,77.5 to 84.6,1874.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2016,18-49 Years,Overall,74.5,71.1 to 77.9,1577.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2013,18-49 Years,Overall,69.3,66.2 to 72.3,2146.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2020,>=65 Years,Overall,76.4,72.9 to 80.0,2533.0,South Dakota,Region 8
Zoster (Shingles),,States/Local Areas,South Dakota,2017,>=65 Years,Overall,55.9,52.2 to 59.6,2478.0,South Dakota,Region 8
Zoster (Shingles),,States/Local Areas,South Dakota,2014,>=65 Years,Overall,47.4,44.0 to 50.7,2434.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2019,50-64 Years,Overall,78.6,74.7 to 82.5,1611.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2013,>=65 Years,Overall,50.2,46.2 to 54.3,1804.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2016,>=65 Years,Overall,49.2,45.0 to 53.4,1783.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2019,>=18 Years,Overall,78.5,76.2 to 80.7,5710.0,South Dakota,Region 8
Zoster (Shingles),,States/Local Areas,South Dakota,2020,>=60 Years,Overall,55.1,51.5 to 58.6,3283.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2016,50-64 Years,Overall,67.2,63.3 to 71.1,1555.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2019,>=65 Years,Overall,72.2,68.5 to 75.9,2225.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2019,>=65 Years,Overall,73.1,69.4 to 76.9,2432.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2018,18-64 Years at Increased Risk,Overall,26.5,22.4 to 30.7,1516.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2011,18-64 Years at Increased Risk,Overall,30.4,26.4 to 34.3,1846.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2010,18-64 Years at Increased Risk,Overall,25.4,22.1 to 28.7,1291.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2009,18-64 Years at Increased Risk,Overall,24.0,20.8 to 27.1,1444.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2008,18-64 Years at Increased Risk,Overall,22.4,19.6 to 25.3,1427.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2013,>=18 Years,Overall,64.8,62.8 to 66.9,5759.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2016,>=18 Years,Overall,67.0,64.7 to 69.3,4915.0,South Dakota,Region 8
Zoster (Shingles),,States/Local Areas,South Dakota,2014,60-64 Years,Overall,25.4,20.3 to 30.6,770.0,South Dakota,Region 8
Zoster (Shingles),,States/Local Areas,South Dakota,2017,60-64 Years,Overall,39.3,33.4 to 45.2,749.0,South Dakota,Region 8
Zoster (Shingles),,States/Local Areas,South Dakota,2020,>=65 Years,Overall,59.3,55.5 to 63.1,2580.0,South Dakota,Region 8
Zoster (Shingles),,States/Local Areas,South Dakota,2020,60-64 Years,Overall,44.6,36.6 to 52.5,703.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2019,18-64 Years at Increased Risk,Overall,32.6,27.4 to 37.7,1281.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2015,>=65 Years,Overall,70.5,67.2 to 73.8,2467.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2021,>=65 Years,Overall,74.2,70.3 to 78.1,2634.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2014,18-64 Years at Increased Risk,Overall,28.0,24.2 to 31.8,1534.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2016,>=65 Years,Overall,75.8,72.4 to 79.2,1992.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2020,18-64 Years at Increased Risk,Overall,29.3,24.0 to 34.6,1328.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2013,18-64 Years at Increased Risk,Overall,27.5,23.8 to 31.2,1480.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2012,18-64 Years at Increased Risk,Overall,26.1,23.2 to 29.1,1834.0,South Dakota,Region 8
Tetanus,Tdap,States/Local Areas,South Dakota,2022,>=18 Years,Overall,50.7,46.2 to 55.2,3956.0,South Dakota,Region 8
Tetanus,Tdap,States/Local Areas,South Dakota,2022,>=65 Years,Overall,42.2,35.2 to 49.2,1371.0,South Dakota,Region 8
Tetanus,Tdap,States/Local Areas,South Dakota,2022,18-64 Years,Overall,53.1,47.6 to 58.5,2585.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2022,50-64 Years,Overall,76.0,70.7 to 81.2,1802.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2022,>=65 Years,Overall,71.1,66.5 to 75.8,2280.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2022,18-49 Years,Overall,73.2,67.9 to 78.4,2348.0,South Dakota,Region 8
Tetanus,Td or Tdap,States/Local Areas,South Dakota,2022,>=18 Years,Overall,73.3,70.1 to 76.6,6430.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2022,>=65 Years,Overall,69.8,65.0 to 74.6,2501.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,South Dakota,2022,18-64 Years at Increased Risk,Overall,26.5,21.3 to 31.8,1614.0,South Dakota,Region 8
Pneumococcal,,States/Local Areas,West Virginia,2012,18-64 Years at Increased Risk,Overall,29.3,26.9 to 31.7,1771.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2013,18-64 Years at Increased Risk,Overall,26.6,24.4 to 28.9,1907.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2019,18-64 Years at Increased Risk,Overall,36.5,33.4 to 39.5,1444.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2014,>=65 Years,Overall,67.7,65.3 to 70.1,1963.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2018,>=65 Years,Overall,73.0,70.6 to 75.4,1784.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2017,18-64 Years at Increased Risk,Overall,36.8,34.0 to 39.6,1638.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2017,>=65 Years,Overall,73.7,71.3 to 76.1,1831.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2016,18-64 Years at Increased Risk,Overall,37.3,35.0 to 39.7,2261.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2015,18-64 Years at Increased Risk,Overall,37.7,35.1 to 40.2,1862.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2021,18-64 Years at Increased Risk,Overall,32.1,29.7 to 34.6,1780.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2008,>=65 Years,Overall,68.2,65.3 to 71.1,1184.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2009,>=65 Years,Overall,68.8,66.2 to 71.4,1484.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2011,>=65 Years,Overall,64.4,61.6 to 67.1,1549.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2010,>=65 Years,Overall,62.4,59.6 to 65.1,1486.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2012,>=65 Years,Overall,68.0,65.4 to 70.5,1648.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2013,>=65 Years,Overall,69.5,66.9 to 72.1,1704.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2015,50-64 Years,Overall,62.9,60.2 to 65.6,1596.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2019,18-49 Years,Overall,78.9,76.2 to 81.6,1318.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2010,50-64 Years,Overall,65.2,62.3 to 68.1,1338.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2015,18-49 Years,Overall,71.8,69.4 to 74.1,1797.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2010,18-49 Years,Overall,71.6,68.6 to 74.6,1285.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2013,18-49 Years,Overall,63.2,60.6 to 65.7,1883.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2016,18-49 Years,Overall,73.5,71.4 to 75.6,2240.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2013,50-64 Years,Overall,52.0,49.2 to 54.7,1676.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2019,>=18 Years,Overall,71.7,70.0 to 73.4,4532.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2020,>=60 Years,Overall,39.3,37.2 to 41.5,2923.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2014,>=65 Years,Overall,29.7,27.5 to 32.0,1979.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2010,>=65 Years,Overall,8.0,6.5 to 9.5,1492.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2017,>=65 Years,Overall,42.8,40.2 to 45.4,1837.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2015,>=65 Years,Overall,36.2,33.7 to 38.8,1718.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2019,>=65 Years,Overall,73.6,71.2 to 76.0,2012.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2018,18-64 Years at Increased Risk,Overall,34.7,31.8 to 37.6,1445.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2016,>=65 Years,Overall,45.5,43.0 to 48.0,1896.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2015,>=65 Years,Overall,48.6,45.7 to 51.5,1498.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2010,>=65 Years,Overall,51.5,48.5 to 54.4,1341.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2013,>=65 Years,Overall,40.2,37.4 to 43.0,1514.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2019,50-64 Years,Overall,70.3,67.4 to 73.2,1384.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2019,>=65 Years,Overall,59.5,56.8 to 62.3,1830.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2016,50-64 Years,Overall,56.5,54.0 to 58.9,2029.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2020,>=65 Years,Overall,44.8,42.3 to 47.3,2210.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2014,60-64 Years,Overall,18.9,15.9 to 22.0,727.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2010,60-64 Years,Overall,4.2,2.3 to 6.1,522.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2015,60-64 Years,Overall,24.4,20.8 to 27.9,659.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2017,60-64 Years,Overall,26.0,22.4 to 29.6,691.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2020,60-64 Years,Overall,24.6,21.0 to 28.2,713.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2010,>=60 Years,Overall,6.9,5.7 to 8.1,2014.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2016,>=65 Years,Overall,72.7,70.5 to 74.8,2147.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2014,18-64 Years at Increased Risk,Overall,33.0,30.6 to 35.4,1994.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2015,>=65 Years,Overall,70.1,67.7 to 72.6,1732.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2020,18-64 Years at Increased Risk,Overall,36.9,34.1 to 39.7,1598.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2021,>=65 Years,Overall,72.0,69.9 to 74.2,2430.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2020,>=65 Years,Overall,74.6,72.3 to 76.8,2185.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2008,18-64 Years at Increased Risk,Overall,25.2,22.5 to 27.9,1309.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2009,18-64 Years at Increased Risk,Overall,27.3,24.5 to 30.1,1400.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2010,18-64 Years at Increased Risk,Overall,26.5,23.5 to 29.4,1241.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2011,18-64 Years at Increased Risk,Overall,28.1,25.6 to 30.6,1705.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2016,>=18 Years,Overall,62.2,60.8 to 63.6,6165.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2010,>=18 Years,Overall,65.9,64.0 to 67.7,3964.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2015,>=18 Years,Overall,64.0,62.4 to 65.5,4891.0,West Virginia,Region 3
Tetanus,Td or Tdap,States/Local Areas,West Virginia,2013,>=18 Years,Overall,55.1,53.4 to 56.7,5073.0,West Virginia,Region 3
Tetanus,Tdap,States/Local Areas,West Virginia,2013,>=18 Years,Overall,22.1,20.4 to 23.8,3465.0,West Virginia,Region 3
Tetanus,Tdap,States/Local Areas,West Virginia,2016,>=18 Years,Overall,32.4,30.8 to 34.1,4345.0,West Virginia,Region 3
Tetanus,Tdap,States/Local Areas,West Virginia,2010,>=18 Years,Overall,8.6,7.1 to 10.2,2913.0,West Virginia,Region 3
Tetanus,Tdap,States/Local Areas,West Virginia,2019,>=18 Years,Overall,43.5,41.2 to 45.9,3021.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2014,>=60 Years,Overall,26.6,24.8 to 28.5,2706.0,West Virginia,Region 3
Tetanus,Tdap,States/Local Areas,West Virginia,2015,>=18 Years,Overall,33.0,31.1 to 34.9,3310.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2015,>=60 Years,Overall,32.9,30.7 to 35.0,2377.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2023,60-64 Years,Overall,28.6,24.0 to 33.2,442.0,West Virginia,Region 3
Pneumococcal,,States/Local Areas,West Virginia,2023,18-64 Years at Increased Risk,Overall,38.2,34.9 to 41.6,1119.0,West Virginia,Region 3
Tetanus,Tdap,States/Local Areas,West Virginia,2013,18-64 Years,Overall,26.1,24.0 to 28.3,2367.0,West Virginia,Region 3
Tetanus,Tdap,States/Local Areas,West Virginia,2015,>=65 Years,Overall,20.2,17.5 to 23.0,1088.0,West Virginia,Region 3
Tetanus,Tdap,States/Local Areas,West Virginia,2016,>=65 Years,Overall,16.2,14.2 to 18.3,1387.0,West Virginia,Region 3
Tetanus,Tdap,States/Local Areas,West Virginia,2010,>=65 Years,Overall,3.2,2.0 to 4.5,1033.0,West Virginia,Region 3
Tetanus,Tdap,States/Local Areas,West Virginia,2019,>=65 Years,Overall,27.1,24.2 to 30.0,1272.0,West Virginia,Region 3
Tetanus,Tdap,States/Local Areas,West Virginia,2015,18-64 Years,Overall,37.4,35.1 to 39.8,2222.0,West Virginia,Region 3
Tetanus,Tdap,States/Local Areas,West Virginia,2013,>=65 Years,Overall,9.0,7.2 to 10.7,1098.0,West Virginia,Region 3
Tetanus,Tdap,States/Local Areas,West Virginia,2019,18-64 Years,Overall,49.6,46.6 to 52.6,1749.0,West Virginia,Region 3
Tetanus,Tdap,States/Local Areas,West Virginia,2016,18-64 Years,Overall,37.8,35.7 to 39.8,2958.0,West Virginia,Region 3
Tetanus,Tdap,States/Local Areas,West Virginia,2010,18-64 Years,Overall,10.1,8.1 to 12.1,1880.0,West Virginia,Region 3
Zoster (Shingles),,States/Local Areas,West Virginia,2017,>=60 Years,Overall,38.0,35.8 to 40.1,2528.0,West Virginia,Region 3
